"name","name_ascii","type","county_fips","state_id","state_name","lat","lng","population"
"Zolfo Springs","Zolfo Springs","City","12049","FL","Florida","27.4926","-81.7869","1795"
"Zephyrhills West","Zephyrhills West","City","12101","FL","Florida","28.2311","-82.2052","5474"
"Zephyrhills South","Zephyrhills South","City","12101","FL","Florida","28.2152","-82.1886","5286"
"Zephyrhills North","Zephyrhills North","City","12101","FL","Florida","28.252","-82.1654","3570"
"Zephyrhills","Zephyrhills","City","12101","FL","Florida","28.2409","-82.1797","79795"
"Zellwood","Zellwood","City","12095","FL","Florida","28.7294","-81.5895","2609"
"Yulee","Yulee","City","12089","FL","Florida","30.635","-81.5678","14217"
"Yeehaw Junction","Yeehaw Junction","City","12097","FL","Florida","27.6993","-80.8871","201"
"Yankeetown","Yankeetown","City","12075","FL","Florida","29.0334","-82.7326","614"
"Yalaha","Yalaha","City","12069","FL","Florida","28.751","-81.8194","1546"
"Wright","Wright","City","12091","FL","Florida","30.4445","-86.6419","24814"
"Worthington Springs","Worthington Springs","City","12125","FL","Florida","29.933","-82.4149","233"
"World Golf Village","World Golf Village","City","12109","FL","Florida","29.9654","-81.4896","19975"
"Woodville","Woodville","City","12073","FL","Florida","30.312","-84.2611","4038"
"Woodlawn Beach","Woodlawn Beach","City","12113","FL","Florida","30.3865","-86.9944","3360"
"Wiscon","Wiscon","City","12053","FL","Florida","28.5409","-82.4664","788"
"Winter Springs","Winter Springs","City","12117","FL","Florida","28.6889","-81.2703","38021"
"Winter Park","Winter Park","City","12095","FL","Florida","28.5989","-81.3442","29672"
"Winter Haven","Winter Haven","City","12105","FL","Florida","28.0118","-81.7014","240768"
"Winter Garden","Winter Garden","City","12095","FL","Florida","28.5421","-81.5967","45978"
"Winter Beach","Winter Beach","City","12061","FL","Florida","27.712","-80.4254","3543"
"Windsor","Windsor","City","12061","FL","Florida","27.7869","-80.4141","273"
"Winding Cypress","Winding Cypress","City","12021","FL","Florida","26.0641","-81.6782","504"
"Windermere","Windermere","City","12095","FL","Florida","28.5028","-81.5377","3046"
"Wimauma","Wimauma","City","12057","FL","Florida","27.6964","-82.3034","11137"
"Wilton Manors","Wilton Manors","City","12011","FL","Florida","26.1593","-80.1395","11525"
"Willow Oak","Willow Oak","City","12105","FL","Florida","27.9216","-82.0244","6610"
"Williston Highlands","Williston Highlands","City","12075","FL","Florida","29.3336","-82.5357","3070"
"Williston","Williston","City","12075","FL","Florida","29.374","-82.4579","2946"
"Williamsburg","Williamsburg","City","12095","FL","Florida","28.4014","-81.4462","7449"
"Wildwood","Wildwood","City","12119","FL","Florida","28.7752","-82.0075","14747"
"Whitfield","Whitfield","City","12081","FL","Florida","27.4116","-82.5659","4315"
"White Springs","White Springs","City","12047","FL","Florida","30.3317","-82.7562","819"
"White City","White City","City","12111","FL","Florida","27.3721","-80.3404","4871"
"Whiskey Creek","Whiskey Creek","City","12071","FL","Florida","26.5733","-81.8903","5261"
"Wewahitchka","Wewahitchka","City","12045","FL","Florida","30.1148","-85.1935","1791"
"Westwood Lakes","Westwood Lakes","City","12086","FL","Florida","25.7237","-80.3717","10706"
"Westville","Westville","City","12059","FL","Florida","30.7697","-85.8465","387"
"Westview","Westview","City","12086","FL","Florida","25.8825","-80.2415","11010"
"Weston","Weston","City","12011","FL","Florida","26.1006","-80.4054","68148"
"Westlake","Westlake","City","12099","FL","Florida","26.7549","-80.2984","538"
"Westgate","Westgate","City","12099","FL","Florida","26.6994","-80.0989","8981"
"Westchester","Westchester","City","12086","FL","Florida","25.7471","-80.3523","54238"
"Westchase","Westchase","City","12057","FL","Florida","28.0597","-82.611","24185"
"West Vero Corridor","West Vero Corridor","City","12061","FL","Florida","27.6363","-80.4844","10158"
"West Samoset","West Samoset","City","12081","FL","Florida","27.4702","-82.5552","6789"
"West Perrine","West Perrine","City","12086","FL","Florida","25.6061","-80.3639","10093"
"West Pensacola","West Pensacola","City","12033","FL","Florida","30.4263","-87.2679","21960"
"West Park","West Park","City","12011","FL","Florida","25.984","-80.1923","15074"
"West Palm Beach","West Palm Beach","City","12099","FL","Florida","26.7469","-80.132","115877"
"West Miami","West Miami","City","12086","FL","Florida","25.7578","-80.2969","7090"
"West Melbourne","West Melbourne","City","12009","FL","Florida","28.0694","-80.6736","25768"
"West Little River","West Little River","City","12086","FL","Florida","25.8571","-80.2367","33284"
"West Lealman","West Lealman","City","12103","FL","Florida","27.8192","-82.7384","13847"
"West DeLand","West DeLand","City","12127","FL","Florida","29.0162","-81.3343","3403"
"West Canaveral Groves","West Canaveral Groves","City","12009","FL","Florida","28.3928","-80.8459","127"
"West Bradenton","West Bradenton","City","12081","FL","Florida","27.5016","-82.6146","4096"
"Wesley Chapel","Wesley Chapel","City","12101","FL","Florida","28.2106","-82.3238","65134"
"Wellington","Wellington","City","12099","FL","Florida","26.6461","-80.2699","61445"
"Welaka","Welaka","City","12107","FL","Florida","29.4822","-81.6658","954"
"Wekiwa Springs","Wekiwa Springs","City","12117","FL","Florida","28.6984","-81.4251","24049"
"Weeki Wachee Gardens","Weeki Wachee Gardens","City","12053","FL","Florida","28.5375","-82.6208","877"
"Wedgefield","Wedgefield","City","12095","FL","Florida","28.4847","-81.0809","7912"
"Webster","Webster","City","12119","FL","Florida","28.6114","-82.0493","1025"
"Waverly","Waverly","City","12105","FL","Florida","27.9843","-81.6199","158"
"Wausau","Wausau","City","12133","FL","Florida","30.6334","-85.5874","328"
"Waukeenah","Waukeenah","City","12065","FL","Florida","30.402","-83.96","110"
"Wauchula","Wauchula","City","12049","FL","Florida","27.5469","-81.8102","4958"
"Watertown","Watertown","City","12023","FL","Florida","30.1856","-82.6026","2525"
"Watergate","Watergate","City","12099","FL","Florida","26.3359","-80.2125","3797"
"Washington Park","Washington Park","City","12011","FL","Florida","26.1325","-80.1824","1461"
"Warrington","Warrington","City","12033","FL","Florida","30.3835","-87.2946","16140"
"Warm Mineral Springs","Warm Mineral Springs","City","12115","FL","Florida","27.0472","-82.2702","5051"
"Wallace","Wallace","City","12113","FL","Florida","30.6746","-87.1996","2997"
"Waldo","Waldo","City","12001","FL","Florida","29.7925","-82.1663","1037"
"Wahneta","Wahneta","City","12105","FL","Florida","27.9574","-81.7287","3943"
"Wacissa","Wacissa","City","12065","FL","Florida","30.3566","-83.9937","458"
"Wabasso Beach","Wabasso Beach","City","12061","FL","Florida","27.7569","-80.3991","2142"
"Wabasso","Wabasso","City","12061","FL","Florida","27.7486","-80.4421","1016"
"Virginia Gardens","Virginia Gardens","City","12086","FL","Florida","25.8095","-80.2974","2229"
"Vineyards","Vineyards","City","12021","FL","Florida","26.2279","-81.728","3518"
"Villas","Villas","City","12071","FL","Florida","26.5504","-81.8678","13764"
"Viera West","Viera West","City","12009","FL","Florida","28.2467","-80.7387","14322"
"Viera East","Viera East","City","12009","FL","Florida","28.2613","-80.7149","12020"
"Verona Walk","Verona Walk","City","12021","FL","Florida","26.086","-81.6798","2688"
"Vero Lake Estates","Vero Lake Estates","City","12061","FL","Florida","27.7471","-80.5283","7194"
"Vero Beach South","Vero Beach South","City","12061","FL","Florida","27.6132","-80.4163","174748"
"Vero Beach","Vero Beach","City","12061","FL","Florida","27.6463","-80.393","16254"
"Vernon","Vernon","City","12133","FL","Florida","30.6197","-85.7062","692"
"Verandah","Verandah","City","12071","FL","Florida","26.6973","-81.7429","1444"
"Venice Gardens","Venice Gardens","City","12115","FL","Florida","27.0739","-82.4125","3423"
"Venice","Venice","City","12115","FL","Florida","27.1184","-82.4137","24876"
"Vamo","Vamo","City","12115","FL","Florida","27.2219","-82.4988","2437"
"Valrico","Valrico","City","12057","FL","Florida","27.9193","-82.2293","39632"
"Valparaiso","Valparaiso","City","12091","FL","Florida","30.4926","-86.5079","4887"
"Upper Grand Lagoon","Upper Grand Lagoon","City","12005","FL","Florida","30.169","-85.7407","18140"
"University","University","City","12057","FL","Florida","28.0771","-82.4335","48367"
"Union Park","Union Park","City","12095","FL","Florida","28.5657","-81.2355","10334"
"Umatilla","Umatilla","City","12069","FL","Florida","28.9273","-81.665","3646"
"Tyndall AFB","Tyndall AFB","City","12005","FL","Florida","30.0856","-85.6075","1416"
"Tropical Park","Tropical Park","City","12009","FL","Florida","28.3805","-80.7075","1926"
"Trinity","Trinity","City","12101","FL","Florida","28.1809","-82.6582","18191"
"Trilby","Trilby","City","12101","FL","Florida","28.4564","-82.194","341"
"Trenton","Trenton","City","12041","FL","Florida","29.6092","-82.8147","1804"
"Treasure Island","Treasure Island","City","12103","FL","Florida","27.774","-82.7663","6620"
"Town 'n' Country","Town 'n' Country","City","12057","FL","Florida","28.0106","-82.5763","89679"
"Titusville","Titusville","City","12009","FL","Florida","28.5727","-80.8193","48158"
"Timber Pines","Timber Pines","City","12053","FL","Florida","28.469","-82.5999","4935"
"Tildenville","Tildenville","City","12095","FL","Florida","28.5384","-81.6025","55"
"Tiger Point","Tiger Point","City","12113","FL","Florida","30.3757","-87.0573","3470"
"Tierra Verde","Tierra Verde","City","12103","FL","Florida","27.6687","-82.7299","3847"
"Tice","Tice","City","12071","FL","Florida","26.6756","-81.8166","5200"
"Three Oaks","Three Oaks","City","12071","FL","Florida","26.4724","-81.7959","5158"
"Three Lakes","Three Lakes","City","12086","FL","Florida","25.6415","-80.4","15367"
"Thonotosassa","Thonotosassa","City","12057","FL","Florida","28.0464","-82.291","14278"
"The Villages","The Villages","City","12119","FL","Florida","28.9034","-81.9887","119296"
"The Meadows","The Meadows","City","12115","FL","Florida","27.3647","-82.4716","5330"
"The Hammocks","The Hammocks","City","12086","FL","Florida","25.67","-80.4482","61461"
"The Crossings","The Crossings","City","12086","FL","Florida","25.6708","-80.4018","22382"
"The Acreage","The Acreage","City","12099","FL","Florida","26.774","-80.2779","40771"
"Tequesta","Tequesta","City","12099","FL","Florida","26.9618","-80.1011","6097"
"Temple Terrace","Temple Terrace","City","12057","FL","Florida","28.0436","-82.3773","26585"
"Taylor Creek","Taylor Creek","City","12093","FL","Florida","27.2173","-80.7925","4478"
"Tavernier","Tavernier","City","12087","FL","Florida","25.0188","-80.5132","2286"
"Tavares","Tavares","City","12069","FL","Florida","28.792","-81.7352","18290"
"Tarpon Springs","Tarpon Springs","City","12103","FL","Florida","28.1493","-82.7623","25138"
"Tangerine","Tangerine","City","12095","FL","Florida","28.759","-81.6341","3659"
"Tangelo Park","Tangelo Park","City","12095","FL","Florida","28.456","-81.4465","3202"
"Tampa","Tampa","City","12057","FL","Florida","27.9945","-82.4447","2683956"
"Tamiami","Tamiami","City","12086","FL","Florida","25.7556","-80.4016","54525"
"Tamarac","Tamarac","City","12011","FL","Florida","26.2056","-80.2539","71140"
"Tallahassee","Tallahassee","City","12073","FL","Florida","30.4551","-84.2527","257648"
"Taft","Taft","City","12095","FL","Florida","28.4283","-81.3677","1525"
"Sweetwater","Sweetwater","City","12086","FL","Florida","25.7785","-80.376","19426"
"Surfside","Surfside","City","12086","FL","Florida","25.8787","-80.125","5665"
"Sunset","Sunset","City","12086","FL","Florida","25.706","-80.353","14415"
"Sunrise","Sunrise","City","12011","FL","Florida","26.1547","-80.2997","96220"
"Sunny Isles Beach","Sunny Isles Beach","City","12086","FL","Florida","25.9385","-80.1246","22234"
"Suncoast Estates","Suncoast Estates","City","12071","FL","Florida","26.7123","-81.8684","4308"
"Sun City Center","Sun City Center","City","12057","FL","Florida","27.715","-82.3569","26920"
"Sumatra","Sumatra","City","12077","FL","Florida","30.023","-84.9825","70"
"Sugarmill Woods","Sugarmill Woods","City","12017","FL","Florida","28.7299","-82.501","10629"
"Stuart","Stuart","City","12085","FL","Florida","27.1959","-80.2444","17269"
"Stock Island","Stock Island","City","12087","FL","Florida","24.5658","-81.7351","4906"
"Steinhatchee","Steinhatchee","City","12123","FL","Florida","29.6795","-83.3837","580"
"Starke","Starke","City","12007","FL","Florida","29.9474","-82.1129","5669"
"Stacey Street","Stacey Street","City","12099","FL","Florida","26.6978","-80.1239","928"
"St. Petersburg","St. Petersburg","City","12103","FL","Florida","27.7931","-82.6652","258245"
"St. Pete Beach","St. Pete Beach","City","12103","FL","Florida","27.7235","-82.7387","8963"
"St. Marks","St. Marks","City","12129","FL","Florida","30.1656","-84.2078","298"
"St. Lucie Village","St. Lucie Village","City","12111","FL","Florida","27.4967","-80.3417","831"
"St. Leo","St. Leo","City","12101","FL","Florida","28.3363","-82.2588","1277"
"St. James City","St. James City","City","12071","FL","Florida","26.5506","-82.0979","3551"
"St. George Island","St. George Island","City","12037","FL","Florida","29.652","-84.8881","972"
"St. Cloud","St. Cloud","City","12097","FL","Florida","28.2363","-81.2779","57610"
"St. Augustine South","St. Augustine South","City","12109","FL","Florida","29.8449","-81.3156","5354"
"St. Augustine Shores","St. Augustine Shores","City","12109","FL","Florida","29.8039","-81.3086","9828"
"St. Augustine Beach","St. Augustine Beach","City","12109","FL","Florida","29.8415","-81.2713","6688"
"St. Augustine","St. Augustine","City","12109","FL","Florida","29.8976","-81.31","78386"
"Springfield","Springfield","City","12005","FL","Florida","30.1711","-85.609","8429"
"Spring Ridge","Spring Ridge","City","12041","FL","Florida","29.8218","-82.7245","229"
"Spring Lake","Spring Lake","City","12053","FL","Florida","28.4952","-82.3017","469"
"Spring Hill","Spring Hill","City","12053","FL","Florida","28.4798","-82.53","179668"
"Southwest Ranches","Southwest Ranches","City","12011","FL","Florida","26.0476","-80.3751","7613"
"Southgate","Southgate","City","12115","FL","Florida","27.3066","-82.5107","6045"
"Southeast Arcadia","Southeast Arcadia","City","12027","FL","Florida","27.1862","-81.8521","7664"
"Southchase","Southchase","City","12095","FL","Florida","28.3793","-81.3903","15592"
"South Venice","South Venice","City","12115","FL","Florida","27.0444","-82.4155","16426"
"South Sarasota","South Sarasota","City","12115","FL","Florida","27.2857","-82.5332","4700"
"South Patrick Shores","South Patrick Shores","City","12009","FL","Florida","28.202","-80.6137","7053"
"South Pasadena","South Pasadena","City","12103","FL","Florida","27.7526","-82.7394","5319"
"South Palm Beach","South Palm Beach","City","12099","FL","Florida","26.5898","-80.039","1875"
"South Miami Heights","South Miami Heights","City","12086","FL","Florida","25.5886","-80.3862","36239"
"South Miami","South Miami","City","12086","FL","Florida","25.7079","-80.2952","11997"
"South Highpoint","South Highpoint","City","12103","FL","Florida","27.9086","-82.7162","5744"
"South Gate Ridge","South Gate Ridge","City","12115","FL","Florida","27.2856","-82.497","6125"
"South Daytona","South Daytona","City","12127","FL","Florida","29.1657","-81.0055","12984"
"South Brooksville","South Brooksville","City","12053","FL","Florida","28.5243","-82.4159","4488"
"South Bradenton","South Bradenton","City","12081","FL","Florida","27.4612","-82.5822","24972"
"South Beach","South Beach","City","12061","FL","Florida","27.5883","-80.3435","3204"
"South Bay","South Bay","City","12099","FL","Florida","26.677","-80.7265","6284"
"South Apopka","South Apopka","City","12095","FL","Florida","28.657","-81.5058","7688"
"Sorrento","Sorrento","City","12069","FL","Florida","28.8087","-81.5632","145"
"Sopchoppy","Sopchoppy","City","12129","FL","Florida","30.0598","-84.4854","434"
"Solana","Solana","City","12015","FL","Florida","26.9388","-82.0277","1178"
"Sneads","Sneads","City","12063","FL","Florida","30.7085","-84.9249","1939"
"Sky Lake","Sky Lake","City","12095","FL","Florida","28.4611","-81.3913","7431"
"Silver Springs Shores East","Silver Springs Shores East","City","12083","FL","Florida","29.0496","-81.8875","716"
"Silver Springs Shores","Silver Springs Shores","City","12083","FL","Florida","29.1126","-82.0149","25363"
"Silver Springs","Silver Springs","City","12083","FL","Florida","29.2191","-82.0558","2870"
"Silver Lake","Silver Lake","City","12069","FL","Florida","28.8426","-81.8009","2552"
"Siesta Key","Siesta Key","City","12115","FL","Florida","27.2779","-82.5516","5416"
"Sharpes","Sharpes","City","12009","FL","Florida","28.4381","-80.7552","2569"
"Shalimar","Shalimar","City","12091","FL","Florida","30.4435","-86.583","823"
"Shady Hills","Shady Hills","City","12101","FL","Florida","28.4042","-82.5468","12359"
"Sewall's Point","Sewall's Point","City","12085","FL","Florida","27.1971","-80.1982","1984"
"Seville","Seville","City","12127","FL","Florida","29.3364","-81.5066","1220"
"Seminole Manor","Seminole Manor","City","12099","FL","Florida","26.5836","-80.1014","2634"
"Seminole","Seminole","City","12103","FL","Florida","27.8435","-82.784","19224"
"Seffner","Seffner","City","12057","FL","Florida","27.9981","-82.2735","8484"
"Sebring","Sebring","City","12055","FL","Florida","27.477","-81.453","63287"
"Sebastian","Sebastian","City","12061","FL","Florida","27.7822","-80.4819","24843"
"Sea Ranch Lakes","Sea Ranch Lakes","City","12011","FL","Florida","26.2007","-80.0981","513"
"Scottsmoor","Scottsmoor","City","12009","FL","Florida","28.768","-80.871","972"
"Schall Circle","Schall Circle","City","12099","FL","Florida","26.7153","-80.1144","755"
"Sawgrass","Sawgrass","City","12109","FL","Florida","30.19","-81.3704","4634"
"Satellite Beach","Satellite Beach","City","12009","FL","Florida","28.1782","-80.6019","11093"
"Sarasota Springs","Sarasota Springs","City","12115","FL","Florida","27.3087","-82.4746","12366"
"Sarasota","Sarasota","City","12115","FL","Florida","27.3387","-82.5432","727388"
"Sanibel","Sanibel","City","12071","FL","Florida","26.4534","-82.1023","6437"
"Sanford","Sanford","City","12117","FL","Florida","28.7891","-81.2757","60215"
"San Castle","San Castle","City","12099","FL","Florida","26.5652","-80.0611","3495"
"San Carlos Park","San Carlos Park","City","12071","FL","Florida","26.4765","-81.8193","18590"
"San Antonio","San Antonio","City","12101","FL","Florida","28.3395","-82.2786","1235"
"Samsula-Spruce Creek","Samsula-Spruce Creek","City","12127","FL","Florida","29.0484","-81.0628","5202"
"Samoset","Samoset","City","12081","FL","Florida","27.4764","-82.543","4346"
"Safety Harbor","Safety Harbor","City","12103","FL","Florida","28.008","-82.6964","17093"
"Ruskin","Ruskin","City","12057","FL","Florida","27.7065","-82.4209","26536"
"Royal Palm Estates","Royal Palm Estates","City","12099","FL","Florida","26.6817","-80.1328","1563"
"Royal Palm Beach","Royal Palm Beach","City","12099","FL","Florida","26.7038","-80.2241","38697"
"Rotonda","Rotonda","City","12015","FL","Florida","26.8844","-82.2791","9906"
"Roseland","Roseland","City","12061","FL","Florida","27.836","-80.4885","1552"
"Roosevelt Gardens","Roosevelt Gardens","City","12011","FL","Florida","26.1406","-80.181","2295"
"Roeville","Roeville","City","12113","FL","Florida","30.6836","-86.9927","551"
"Rockledge","Rockledge","City","12009","FL","Florida","28.3203","-80.736","27466"
"Riviera Beach","Riviera Beach","City","12099","FL","Florida","26.7813","-80.0741","37301"
"Riverview","Riverview","City","12057","FL","Florida","27.8227","-82.3023","98928"
"River Ridge","River Ridge","City","12101","FL","Florida","28.2669","-82.6257","5352"
"River Park","River Park","City","12111","FL","Florida","27.3214","-80.3308","6281"
"Rio Pinar","Rio Pinar","City","12095","FL","Florida","28.5271","-81.2628","5533"
"Rio","Rio","City","12085","FL","Florida","27.216","-80.2401","901"
"Ridgecrest","Ridgecrest","City","12103","FL","Florida","27.8923","-82.8074","3296"
"Ridge Wood Heights","Ridge Wood Heights","City","12115","FL","Florida","27.2874","-82.5137","4875"
"Ridge Manor","Ridge Manor","City","12053","FL","Florida","28.4988","-82.1832","4578"
"Richmond West","Richmond West","City","12086","FL","Florida","25.6105","-80.4297","37626"
"Richmond Heights","Richmond Heights","City","12086","FL","Florida","25.6347","-80.3721","10256"
"Redington Shores","Redington Shores","City","12103","FL","Florida","27.8293","-82.8277","2043"
"Redington Beach","Redington Beach","City","12103","FL","Florida","27.8128","-82.8096","1243"
"Reddick","Reddick","City","12083","FL","Florida","29.3687","-82.1976","522"
